Name,Country,Fuel Type,Basin,Power Capacity (MW),Latitude,Longtitude,Collection ID,L1,L2,L3,L4,L5,L6,L7,L8
Andong power station ,KR,gas,pacific,417,36.595906,128.541298,34170c46-7edb-491d-8a5e-69e7bfd4a741,128.545254,36.599082,128.537342,36.59273,128.537342,36.599082,128.545254,36.59273
Anegasaki thermal power station,JP,gas,pacific,1250,35.486428,140.015795,3740ea61-17a9-4065-bc2b-0e339f02919d,140.021901,35.488046,140.0141,35.481694,140.0141,35.488046,140.021901,35.481694
Ansan power station ,KR,gas,pacific,834,37.2952,126.7788,01c1f141-979a-46b6-a471-f8d92cf6792a,126.782793,37.298376,126.774808,37.292024,126.774808,37.298376,126.782793,37.292024
Anyang CHP power station ,KR,gas,pacific,963,37.39373,126.96706,17302d36-9fe5-404a-99a8-ac237222e165,126.971058,37.396906,126.963063,37.390554,126.963063,37.396906,126.971058,37.390554
Baode Coalbed Methane power station,CN,gas,pacific,144,38.972742,110.979596,1598096d-c569-4a2f-8fc4-d2b7c5b6ac57,110.983681,38.975918,110.975511,38.969566,110.975511,38.975918,110.983681,38.969566
Beijing Energy Caoqiao Gas Thermal power station,CN,gas,pacific,838,39.834924,116.35103,a2570b27-bd30-40da-a5f1-6b3f17f77449,116.355166,39.8381,116.346894,39.831748,116.346894,39.8381,116.355166,39.831748
Beijing Energy Future City Gas and Thermal power station,CN,gas,pacific,255,40.101992,116.468024,b4a45517-d351-48be-9b28-2512ab7ba283,116.472176,40.105168,116.463872,40.098816,116.463872,40.105168,116.472176,40.098816
Beijing Energy Gao'antun Gas Thermal power station,CN,gas,pacific,845,39.947119,116.614327,fbe79ccb-b519-47ff-bb28-d4c660bb1f73,116.61847,39.950295,116.610184,39.943943,116.610184,39.950295,116.61847,39.943943
Beijing Energy Jingfeng Gas Thermal power station,CN,gas,pacific,410,39.812616,116.143368,5271a13f-c8d6-4596-96f9-60266323fa1d,116.147503,39.815792,116.139234,39.80944,116.139234,39.815792,116.147503,39.80944
Beijing Energy Jingxi Gas Thermal power station,CN,gas,pacific,1307,39.942898,116.126776,24df0ef5-b320-4664-a2f5-a50cd5dbaa1f,116.130919,39.946074,116.122634,39.939722,116.122634,39.946074,116.130919,39.939722
Beijing Energy Shangzhuang Gas Thermal power station,CN,gas,pacific,266,40.087064,116.194772,06037064-519e-472d-875e-4908187747c3,116.198923,40.09024,116.190621,40.083888,116.190621,40.09024,116.198923,40.083888
Beijing Energy Sun Palace Gas Thermal power station,CN,gas,pacific,780,39.978557,116.438761,da269564-344c-401a-a450-c379eb174a38,116.442906,39.981733,116.434616,39.975381,116.434616,39.981733,116.442906,39.975381
Beijing Energy Zhuhai Yuhai Gas Thermal power station,CN,gas,pacific,930,22.093095,113.155431,541a088e-6386-497d-bdb9-796df0f9e0b7,113.158859,22.096271,113.152003,22.089919,113.152003,22.096271,113.158859,22.089919
Beijing Zhengdong Electronic Power Group South power station,CN,gas,pacific,122,39.97191,116.494381,2570f8cb-5493-47cc-9fb5-9995f0dc4fb8,116.498525,39.975086,116.490237,39.968734,116.490237,39.975086,116.498525,39.968734
Boryeong power station A ,KR,gas,pacific,1350,36.395831,126.485651,5c80d350-3d92-4220-b61b-dcb62ad5dc75,126.489597,36.399007,126.481705,36.392655,126.481705,36.399007,126.489597,36.392655
Bucheon power station ,KR,gas,pacific,450,37.5225,126.764,1f1fdc7a-2732-4c73-86a3-6f41116c74c1,126.768005,37.525676,126.759996,37.519324,126.759996,37.525676,126.768005,37.519324
Bundang power station ,KR,gas,pacific,922,37.3642,127.1482,59c0060d-807c-4dd1-81c7-6fe7da5b534b,127.152196,37.367376,127.144204,37.361024,127.144204,37.367376,127.152196,37.361024
Busan power station ,KR,gas,pacific,1800,35.0851,129.0003,73ac5a24-e8b2-4ebf-9f0f-2c9c0eb5360a,129.004181,35.088276,128.996419,35.081924,128.996419,35.088276,129.004181,35.081924
