Name,Weather region
Andong power station,KR3
Anegasaki thermal power station,JPGas1
Ansan power station,KR2
Anyang CHP power station,KR2
Baode Coalbed Methane power station,CNGas1
Beijing Energy Caoqiao Gas Thermal power station,CNGas1
Beijing Energy Future City Gas and Thermal power station,CNGas1
Beijing Energy Gao'antun Gas Thermal power station,CNGas1
Beijing Energy Jingfeng Gas Thermal power station,CNGas1
Beijing Energy Jingxi Gas Thermal power station,CNGas1
Beijing Energy Shangzhuang Gas Thermal power station,CNGas1
Beijing Energy Sun Palace Gas Thermal power station,CNGas1
Beijing Energy Zhuhai Yuhai Gas Thermal power station,CNGas1
Beijing Zhengdong Electronic Power Group South power station,CNGas1
Boryeong power station A,KR3
Bucheon power station,KR1
Bundang power station,KR3
Busan power station,KR2
Chaozhou Shenzhen Energy Fengquan Lake High tech Zone Gas fired Thermal power plant,CNGas3
Chaozhou Shenzhen Energy Ganlu Thermal power station,CNGas3
Chentangzhuang power station,CNGas1
Chiba thermal power station,JPGas1
China Resources Changzhou Zhonglou Distributed Energy Station,CNGas2
Chita Daini thermal power station,JPGas2
Chita thermal power station,JPGas2
CNOOC Funing Thermal power station,CNGas2
CNOOC Hainan Yangpu Gas power station,CNGas4
CNOOC Putian Gas power station,CNGas3
CNOOC Shenzhen power plant,CNGas3
CNOOC Zhongshan Jiaming Gas power station,CNGas3
CNOOC Zhuhai Gas power station,CNGas2
CR GCL Beijing Gas Thermal power station,CNGas1
Daegu CHP power station,KR3
Dangjin Combined Cycle power station A,KR2
Dangjin Combined Cycle power station B,KR2
Datang Baochang Gas power station,CNGas3
Datang Foshan Gas power station,CNGas3
Datang Gaoyao Jintao Gas Thermal power station,CNGas3
Datang Haikou Gas power station,CNGas4
Datang Jiangshan Xincheng Thermal power station,CNGas2
Datang Jiangyan Gas Thermal power station,CNGas2
Datang Jintan Gas Thermal power station,CNGas2
Datang Lishui Gas Thermal power station,CNGas2
Datang Shaoxing Jiangbin Thermal power station,CNGas2
Datang Suzhou Gas Thermal power station,CNGas2
Datang Wanning Gas power station,CNGas4
Dongducheon power station,KR1
Dongguan Humen Gas power station,CNGas3
Dongguan Zhongdian New Energy Thermal power station,CNGas3
Dongguan Zhongming Gas power station,CNGas3
Dongguan Zhongtang Gas Thermal power station,CNGas3
Dongtan 2 CHP power station,KR2
East Asia Power Wuxi Gas power station,CNGas2
Foshan Funeng Gas power station,CNGas3
Funamachi power plant,JPGas2
Futtsu thermal power station,JPGas1
Gaojing power station,CNGas1
GCL Gaozhou Distributed Gas power station,CNGas3
GCL Guangzhou Lantian Gas Thermal power station,CNGas3
GCL Kunshan Lantian Distributed Gas power station,CNGas2
GCL Nanjing Lantian Gas Thermal power station,CNGas2
GCL Qinzhou Zhongma Distributed Gas power station,CNGas3
GCL Suzhou Economic Zone Lantian Gas Thermal power station,CNGas2
GCL Suzhou Economic Zone North Gas Thermal power station,CNGas2
